leaf_signature,parent,full_key,value,locale_count
influencerUGC.txt_SearchResultNo_24,pages.marketingIntel.aiPredict,pages.marketingIntel.aiPredict.influencerUGC.txt_SearchResultNo_24,Txt_ Search Result No_24,12
influencerUGC.txt_SearchResultNo_24,pages.marketingIntel,pages.marketingIntel.influencerUGC.txt_SearchResultNo_24,Txt_ Search Result No_24,12
influencerUGC.txt_SearchResultNo_24,pages.marketingIntel.marketingIntel.aiPredict,pages.marketingIntel.marketingIntel.aiPredict.influencerUGC.txt_SearchResultNo_24,Txt_ Search Result No_24,12
influencerUGC.txt_SearchResultNo_24,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.influencerUGC.txt_SearchResultNo_24,Txt_ Search Result No_24,12
tabs.globalRevenue,pages.marketingIntel,pages.marketingIntel.tabs.globalRevenue,Global Sales,12
tabs.globalRevenue,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.globalRevenue,Global Sales,12
tabs.avgGrowth,pages.marketingIntel,pages.marketingIntel.tabs.avgGrowth,Avg Growth,12
tabs.avgGrowth,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.avgGrowth,Avg Growth,12
tabs.topMarket,pages.marketingIntel,pages.marketingIntel.tabs.topMarket,Top Market,12
tabs.topMarket,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.topMarket,Top Market,12
tabs.activeCountries,pages.marketingIntel,pages.marketingIntel.tabs.activeCountries,Active Countries,12
tabs.activeCountries,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.activeCountries,Active Countries,12
tabs.channelPerf,pages.marketingIntel,pages.marketingIntel.tabs.channelPerf,Channel Performance,12
tabs.channelPerf,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.channelPerf,Channel Performance,12
tabs.growthRate,pages.marketingIntel,pages.marketingIntel.tabs.growthRate,Growth Rate,12
tabs.growthRate,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.growthRate,Growth Rate,12
tabs.popularProducts,pages.marketingIntel,pages.marketingIntel.tabs.popularProducts,Popular Products,12
tabs.popularProducts,pages.marketingIntel.marketingIntel,pages.marketingIntel.marketingIntel.tabs.popularProducts,Popular Products,12
contentCal.yearSuffix,crm,crm.contentCal.yearSuffix,",",12
contentCal.yearSuffix,crm.contentCal.catalogSync,crm.contentCal.catalogSync.contentCal.yearSuffix,",",12
reviews.unitCount,crm.contentCal,crm.contentCal.reviews.unitCount,",",12
reviews.unitCount,pages.marketingIntel.influencer,pages.marketingIntel.influencer.reviews.unitCount,",",3
reviews.sentiment_,crm.contentCal,crm.contentCal.reviews.sentiment_,Sentiment,12
reviews.sentiment_,pages.marketingIntel.influencer,pages.marketingIntel.influencer.reviews.sentiment_,Sentiment,3
riskStatus.danger,crm.contentCal.reviews,crm.contentCal.reviews.riskStatus.danger,Danger,12
riskStatus.danger,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.riskStatus.danger,Danger,3
riskStatus.caution,crm.contentCal.reviews,crm.contentCal.reviews.riskStatus.caution,Caution,12
riskStatus.caution,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.riskStatus.caution,Caution,3
riskStatus.normal,crm.contentCal.reviews,crm.contentCal.reviews.riskStatus.normal,Normal,12
riskStatus.normal,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.riskStatus.normal,Normal,3
sms.providerNhnDesc,crm.contentCal.reviews,crm.contentCal.reviews.sms.providerNhnDesc,NHN Cloud bizMessage service,12
sms.providerNhnDesc,pages.marketingIntel.influencer.reviews,pages.marketingIntel.influencer.reviews.sms.providerNhnDesc,NHN Cloud bizMessage service,3
